Human_Index,Human_Label,Machine_Index,Machine_Label
0,actuated dynamic brace,0,brace;force
1,external treatment device,1,pads;forces
2,implantable/ surgical intervention,2,curvature;spine
3,rigid brace variations,3,brace;cables
4,modular brace w/ multiple components,4,brace;curvature
5,,5,torso;shaft
6,treatment communication/ community building,6,children;extension
7,correct position guarantee,7,
,,8,body;brace
,,9,muscle;stimulation
,,10,brace;shoulders
,,11,patients;mobility
,,12,pads;air
,,13,curve;motion
,,14,forces;bands
,,15,brace
,,16,force;patients
,,17,mars;layer
