index,Concept Name,Concpet Description,Human Label,Machine Label
1,work mode,av will reduce light from outside and turn on inside light the hmi would change from voice to screen message the users can focys on work,Comfort and Convenience,av;users
2,mobile dining ,users can order this service and the restaurant will send this av loaded with food the users ordered can drive to users preferable location,Comfort and Convenience,av;users
3,moving gym,av provides gym facilities inside for users,Comfort and Convenience,av;users
4,dj instrument in av,club decoration inside users can sing and dance in it,Comfort and Convenience,av;users
5,plane pilot simulation,with ar and plane instrument users can experience plane pilot simulation,Comfort and Convenience,av;users
6,auto car wash,the car can be set up to go to car wash by itself,Remote Control,car;cars
7,refuel or charge by iteslf,the car can go and refuel or recharge itself during unoccupied timeor by order,Remote Control,car;cars
8,auto pick up and park,the car can pick up passengers by their order and can park itself,Remote Control,car;cars
9,manual driving option ,the car can change to manual riving mode according to the drivers command,User Interface,car;user
10,lego car,this car is easy for users to assemble also it is easy to upgrade parts by having standarized parts,User Interface,car;user
11,3d projected hologram,a personal assistent will be projected with 3d hologram user will be able to interact with a human look ai,User Interface,user;extensions
12,top entertainment system ,the av should have top entertainment system and give user the best travel experience all the windows can be screen,Comfort and Convenience,user;extensions
13,flexible seats,since the user do not need to drive the seats should be able to turn and slide flexibly,Comfort and Convenience,user;extensions
14,hidden baby holder,the seat can be made to have extensions to hold a baby the extensions will come out only with a toggle of a switch,Comfort and Convenience,user;extensions
15,detachable car,the body parts of the car can be made easily detachable so that the user can plug and play with certain components,Efficiency,car;user
16,manual override function ,in case of autodriving malfunction the user is able to manually override the function and engage indriving,User Interface,windshield;vehicle
17,mobile sleeping capsule,passengers can lay down and take a nap while their av to their destination,Comfort and Convenience,passengers;cars
18,chageable window views ,instead of lookubg through the window passengers is able to change their views to other possible location,Comfort and Convenience,passengers;cars
19,mobile theater,passengers are able to enjoy their video on this massive screen while the av driving them to their desination ,Comfort and Convenience,passengers;cars
20,adjustable seat layout,passengers can change the seat layout without the consideration of driving,Comfort and Convenience,passengers;cars
21,rotatable seats,passengers can rotate their seats to enjoy the front side or back views and to use the center table for work,Comfort and Convenience,passengers;cars
22,modularity cars,the owner can replace modules of the cars to fix them or get new features,Comfort and Convenience,passengers;cars
23,remote control,user can use cell phone to control av remotely including selfparking and call the av from parking lot,Remote Control,av;users
24,user locator app,the user can pin point the pick up location and his av will revieve the request and drive to the pick up point,Remote Control,av;users
25,autonomous vehicle lane,having a separate lane for autonomous vehicles like the carpool lane,Avoid Traffic Congestion ,vehicle;vehicles
26,sleeping pod,the sleeping pod will help the user to relax since driving and effort is not required,Comfort and Convenience,windshield;vehicle
27,360 degrees chairs,given that the vehicle is autonomous the seats need not face front rotating seats allow for meetings discussions etc,Comfort and Convenience,windshield;vehicle
28,wind shield projector,the windshield has the option of being used as a screen to see movies or presentations,Comfort and Convenience,windshield;vehicle
29,sphere wheels ,the car is able to turn without actually turning the wheels the steering angle is 360 degrees,Comfort and Convenience,windshield;vehicle
30,hidden steering wheel,the steering wheel will come out from from the dashboard only when the autonomous function is disabled,Comfort and Convenience,windshield;vehicle
31,portable car,the car parts can be detached and can be put into a suit case to be carried around,Efficiency,car;cars
32,solar car,the car can use solar panels to power certain components to make the car more energy efficient,Efficiency,car;cars
33,travel history,the car records the whole trip including the traffic condition it will compare it to the estimated duration and choose alternate route if the route is more efficient,User Interface,passengers;cars
34,smart navigation system,a smart navigation system for autonomous cars to keep users engaged  informed,User Interface,passengers;cars
35,ar windshield,the windshield with ar function enables the passengers to explore a world beyound reality,User Interface,passengers;cars
36,vr,the passengers will wear wear vr sets to experience an immersive riding thrill,User Interface,passengers;cars
37,eeg controlled ui,users are able to communicate with their cars with brainwave extremely helpful for disabled passengers,User Interface,passengers;cars
38,narrow car,reducing the width of the car to have just one column of seats,Avoid Traffic Congestion ,car;user
39,stargazing roof mode,the roof of the car will open wider for user to stargaze the night it can also use a transparent glass mode instead of fully open,Comfort and Convenience,car;user
40,umberlla dispatch,the car can dispatch umberlla from its side when it is raining if the user wants to get out of the car,Comfort and Convenience,car;user
41,cold beverage storage,the car can have a mini storage for cold drinks,Comfort and Convenience,car;user
42,preset "theme",the car has different settings saved for each user and the user can activate it by phone for example nancy likes the temperature in the car to be 75 while matt likes it at 72,Comfort and Convenience,car;user
43,3d projected car body,the car can change its exterior look depending on users preference,Comfort and Convenience,car;user
44,car seat earphones,each car seats head rest can have an extension that fits into the users ears and plays their select music,Comfort and Convenience,car;user
45,car seats with storage area,car seats can be designed to have hidden storage areas under them to protect against theft,Comfort and Convenience,car;user
