index,Concept Name,Concpet Description,Human Label,Machine Label
1,alex's claw hand,have pins to lock the claw hand in open position the pins can be located at the hands forarm where the joint is,The Claw,hand;side
2,light grip for claw hand,use adjustable springs to limit the force on soft objects,The Claw,hand;side
3,watch mount,a combination of prostheses and watch,Harness,
4,ball joint,ball shape joint that allows the finger to rotate in 360 degrees,Joints,finger;fingers
5,finger lock,a rotational lock for finger attachment,Joints,finger;fingers
6,screw joint,joint of finger that can be removed and attach by screwing in and out,Joints,finger;fingers
7,twist joint,joint that locks the finger by twisting,Joints,finger;fingers
8,imonkey bar c metal part,we want the composite matterial to be light and hold 100 lb before breaking,iMonkeyBar,
9,zoidburg clamp,strong  three pronged gripper actuated with other hand,,hand;clamp
10,handle bar holding,a ring with a seat for the bike handle bar that would allow for control over steering when moving wrist to actuate brake,Gone Ridin',wrist;brake
11,brake extension,small attachment that extends bike brake to thumb for easier actuation,Gone Ridin',wrist;brake
12,brake hooker,very simple design to hook over brake on bike and allow for pulling brake while also steering,Gone Ridin',wrist;brake
13,wrist assist,allows you to hold handlebars when steering leaving wrist free to break,Gone Ridin',wrist;brake
14,itouch bci program,write a program on arduino to translate input signal from pressure sensors into currents from 02 ma,Other,sensors;heat
15,itouch bci,get the arduino output from the pressure sensors and send it as input to tdac device to stimulate the brains somatosensory region for hand,Other,sensors;heat
16,transcranial direct current stimulator,design a tdac device with fuse to deliver 02ma current to stimulate the brain,Other,sensors;heat
17,drum roll,specific prosthetic for holding drumstick,,clamp;drum
18,thumb gripper,additional thumb for holding bike,,clamp;drum
19,arm gripper,arm grip with suction cups for holding books or things with flat surfaces,,clamp;drum
20,2 piece clamp,2 fingers are mounted where the missing index to pinky finger are these close when the thumb squeezes to create a claw,The Claw,finger;fingers
21,adjustable angle mount blocks,blocks can be used to change mounting angle of finger,Mount,finger;fingers
22,ball joint angle mount,finger can rotate based on what you need to pick up,Mount,finger;fingers
23,ibike myo signal processing,using myo armbands myoelectric sensors and using the frequency range for brach radi muscle on the forarm one can use the median power frequency of the power spectrum to classify light break vs tight break,Gone Ridin',sensors;heat
24,ihero,have marvel hero designs available for each child to chose and apply the design to the hands,Other,
25,gripper,actuates like regular grippers,The Claw,
26,octopus finger,sucking discs on finger tips for holding objects,Finger Designs,clamp;drum
27,bending linkage,a linkage design that allows finger to bend by pulling the string,Control,wrist;brake
28,monkey bar thumb design,have the thumb actuated based on myoelectric signal from forarm muscle flexsion,Control,wrist;brake
29,cooling harness,a mini fan implanted in harness to dissipate heat,Harness,sensors;heat
30,atomic lab's hand thumb re design,the current design of the thumb has its edge in contact when holding a cylindrical object rotate 45 degree to a 90 degree edge connection to have the whole side of thumb in contact also make it 100 mm taller with pointier tip,Finger Designs,hand;side
31,bike fingers,fuse the last joint of the fingers such that there are two joins instead of three on the hand,Finger Designs,hand;side
32,monkey bar hand joint,have the hand have only one joint where the hand is in l shape and the tip of it has a digit made with flexible pla also make the corner fater to take more tension ,Finger Designs,hand;side
33,internal wiring,have the fishing lines or electric wires run in the fingers design space and hooks inside the digits and palm of the hand for lines and wirings ,Finger Designs,hand;side
34,the gripper,passive gripper hand for holding high weights and cylindrical objects,,
35,1 piece clamp,one solid piece connects where typical fingers would be this allows for strong pinching between thumb and piece,The Claw,wrist;brake
36,robo wrist,robotic arm to help with daily tasks,,wrist;brake
37,the clamper,for fine pinching needs this gear actuated prosthetic is your best friend for small pinches and tieing shoelaces,,wrist;brake
38,the strapper,straps shut against object with a buckle similar to snow board bindings,,wrist;brake
39,viper,wrist actuated gripper,,wrist;brake
40,thumb break,rotational brake to be actuated by thumb,,wrist;brake
41,octohand ,fingers with octopus like suction cups,,wrist;brake
42,the pincer,three rounded horns with spikes for grip like horns of a beatle,,wrist;brake
43,open handed harness,a customizable harness that does not cover the entire hand and tied around the wrist,Harness,hand;side
44,the mit,hand specifically designed to hold a baseball sized ball,Niche,hand;ball
45,3 jonts fingers,3 joints finger that built with flexible material,Finger Designs,finger;fingers
46,tapping finger,a stopping system on each join of finger to prevent fingers from bending in the opposite direction,Finger Designs,finger;fingers
47,finger of fingers,a finger that can split into two finger at tip of the finger,Finger Designs,finger;fingers
48,elastic finger,finger harness that covers around a flexible soild 3d printed finger so that the finger can return to its original position when the string is released without an external componect,Finger Designs,finger;fingers
49,radial finger,3 webbed fingers that can expand into wider surface area,Finger Designs,finger;fingers
50,extendable finger,an extra section of finger placed inside the 3rd finger section that can be extended when needing for finer and sharper tips,Finger Designs,finger;fingers
51,snake finger,joint system allowing multiple axes of actuation,Finger Designs,finger;fingers
52,webbed finger,webbed fingers actuate when triggered by thumb prevents slipping through fingers,Finger Designs,finger;fingers
53,wiggle finger,locks open or close when sharply moved,Finger Designs,finger;fingers
54,page turner,finger with small textured area to help with friction at tip of finger,Finger Designs,finger;fingers
55,imonkey bar,c shabe composite metal that is attached at the wrist to l shaped velcro wrist srap the short end of l will flip over and lock the strap in place ,iMonkeyBar,wrist;brake
