index,Concept Name,Concpet Description,Human Label,Machine Label
1,automatic emergency call,automatically calls the fire department when fire becomes really dangerous,Communication/ report,fire;people
2,fire report button on necklace,button on a necklace for disabled people to instantly alert emergency services in extreme situation,Communication/ report,fire;people
3,flashing light built in,flashes bright lights in case of a fire for deaf people,Communication/ report,fire;people
4,autonomous,move a portable robot extinguish fires assist people,Design,users;user
5,add on features,users can buy more expensive attachments and add on to base model,Design,users;user
6,minimalism,simplistic user interface across design,Design,users;user
7,affordable,device is affordable to anyone who needs it,Design,users;user
8,modular camera,can install a device for every room that needs one,Design,users;user
9,flying wings,allows people to quickly and safety evacuate,Design,users;user
10,air lock,seal a room without anyone inside and suck out the air to extinguish fire faster,Extinguish,fire;people
11,powder hose,shoots extinguishing powder at fire like salt gun,Extinguish,fire;people
12,fire fighter robot,this robot can detect and extinguish fire when detected you dont need more sprinklers,Extinguish,fire;people
13,ac system that keeps house cold,overheating causes fire to prevent that keep the house cold,Extinguish,fire;people
14,targeting extinguisher,focuses extinguisher on source of fire,Extinguish,fire;people
15,machine learning,device learns user habit and develops warnings  smoke alarm sensitivity,Design,wheels;heat
16,size of smoke detector,looks like smoke detector small and circular from outside,Design,wheels;heat
17,corner mount,reduce material by being mounted in the corner of a room,Design,wheels;heat
18,modular camera,able to attach camera to most existing smoke detectors,Design,wheels;heat
19,wheels,be able to run,Design,wheels;heat
20,durable,metal or other fireproof material outside,Design,wheels;heat
21,sensitivity adjustment,sensitivity for heat detection can be modified by user in case of gas stove or use of lighters,Design,wheels;heat
22,wheels,enables quick ground transport if needed,Design,wheels;heat
23,flight,flying capabilities for extinguishing robot,Extinguish,users;user
24,gas mask,provides clean air and prevent smoke inhalation and increase survivability,Extinguish,wheels;heat
25,rainfall sprinkler,evenly sprinkles the room,Extinguish,wheels;heat
26,sound extinguishing,uses sound waves to extinguish fires at certain distances,Extinguish,wheels;heat
27,gas vents,uses nonflammable gases to extinguish fires at distance like vortex rings more like an air vent not an extinguisher,Extinguish,wheels;heat
28,recyclable monitor,monitor trash areas for high fire hazard,Detection,fire;people
29,camera,detects heat possible fire sources,Detection,fire;people
30,fire scanner,scans the entire place searching for fire or possible sources of fire,Detection,fire;people
31,night fire wake up,makes sure people can wake up when there is some night fire,Night Fire,fire;people
32,night watch goggle,mimics owls and makes it easier to see at night,Night Fire,fire;people
33,water alarm,sprays water at sleeping people to wake up for evacuation,Night Fire,fire;people
34,single use,can use itself to put out fireso it is gonna be cheaper,Design,
35,easy to install,can be added on or off,Design,
36,automatic evacuation,the device automatically evacuates people who need help ,Disabilities,users;user
37,fire proof,our robot is used for fire detection and prevention,Design,fire;people
38,escape route,lightedauditory escape route,Design,fire;people
39,alarm,to wake up users,Night Fire,users;user
40,varying plans,different plans for people living in higher risk areas,Design,people
41,thermal camera,use a thermal camera to detect abnormal heat levels,Detection,wheels;heat
42,oxygen monitor,used to determine if windowsdoors can be open warns of backdraft,Detection,wheels;heat
43,avatar for disabled people,allows disabled people to have functional legs senses etc in case of fire,Disabilities,fire;people
44,fire suit,a fireproof suit to wear in extreme situations when fire cannot be controlled,Disabilities,fire;people
45,fireproof room,if evacuation is not possible this room allows for people to wait out the fire like a safe,Disabilities,fire;people
46,fire bubble,expanding bubble for wheelchair bound people if evacuation is not possible provides clean air until services arrive,Disabilities,fire;people
47,fire proof wheelchair,a fireproof wheelchair so that it will not catchspreadfire during evacuation,Disabilities,fire;people
48,security camera,thermal camera can double as a security camera,Detection,users;user
49,detector for deaf people,alerts deaf people that cant hear the sounds of normal smoke detectors,Detection,users;user
50,kitchen safety stove,stops cooking if unsafe,Detection,users;user
51,flammable item sweeper,sweeps flammable items into a landfill,Detection,users;user
52,anemometer,can alert users on which windows are safe to open,Detection,users;user
53,special for disabilities,a special model for people with disabilities,Disabilities,people
54,size,not occupy too much space in home,Design,
55,a fire alarm app on apple watch smartwatches,alerts users in the best ways for the individual user deaf people flash light blind people sound both deaf and blind vibration,Communication/ report,users;user
56,vibration wrist band,alerts users if there is a fire by using vibration people who dont have or cannot afford smartwatches can use this,Communication/ report,users;user
57,fire alarm with user control,turns off alarm if it is only a small fire andor already put out by user,Communication/ report,users;user
58,smartphone compatibility,can customize features for different people including alerts such as sound light vibration,Communication/ report,users;user
59,user controlled fire alarm prevention system,allows users to control the alarms like home security system,Communication/ report,users;user
60,smartphone connectivity,connects to smartphone for alerts and real time monitoring especially when the user is away from home,Communication/ report,users;user
61,internet connectivity,warns of nearby fires to alert people inside to evacuate in advance,Communication/ report,users;user
